,Burglaries,Theft
Ashburton District,370,517
Auckland,22273,47116
Buller District,158,162
Carterton District,115,93
Central Hawke's Bay District,157,158
Central Otago District,117,131
Christchurch City,6182,11850
Clutha District,210,193
Dunedin City,1011,1592
Far North District,1396,2047
Gisborne District,1117,1498
Gore District,191,211
Grey District,138,204
Hamilton City,3580,6412
Hastings District,1892,3263
Hauraki District,494,410
Horowhenua District,678,854
Hurunui District,119,154
Invercargill City,638,852
Kaikoura District,41,52
Kaipara District,347,420
Kapiti Coast District,797,1125
Kawerau District,110,113
Lower Hutt City,1668,3078
Mackenzie District,32,58
Manawatu District,496,494
Marlborough District,416,667
Masterton District,540,773
Matamata-Piako District,792,758
Napier City,1257,2814
Nelson City,690,1165
New Plymouth District,854,1664
Opotiki District,167,272
Otorohanga District,148,118
Palmerston North City,1755,4104
Porirua City,716,1296
Queenstown-Lakes District,129,541
Rangitikei District,187,180
Rotorua District,1759,3092
Ruapehu District,206,285
Selwyn District,382,446
South Taranaki District,358,380
South Waikato District,334,537
South Wairarapa District,188,165
Southland District,265,216
Stratford District,95,147
Tararua District,310,388
Tasman District,475,669
Taupo District,746,1266
Tauranga City,1711,4117
Thames-Coromandel District,654,639
Timaru District,388,586
Upper Hutt City,559,821
Waikato District,1407,1264
Waimakariri District,490,765
Waimate District,67,56
Waipa District,600,776
Wairoa District,147,220
Waitaki District,215,305
Waitomo District,179,209
Wellington City,2022,4966
Western Bay of Plenty District,578,670
Westland District,116,146
Whakatane District,725,997
Whanganui District,818,1311
Whangarei District,1669,2905
