Far North District,27708
Whangarei District,35343
Kaipara District,10875
Auckland,506811
Thames-Coromandel District,24150
Hauraki District,8748
Waikato District,24621
Matamata-Piako District,13224
Hamilton City,53703
Waipa District,18837
Otorohanga District,4083
South Waikato District,9489
Waitomo District,4266
Taupo District,19569
Western Bay of Plenty District,20085
Tauranga City,49839
Rotorua District,27633
Whakatane District,13794
Kawerau District,2691
Opotiki District,4239
Gisborne District,18009
Wairoa District,3975
Hastings District,29376
Napier City,24729
Central Hawke's Bay District,6141
New Plymouth District,31704
Stratford District,3927
South Taranaki District,11745
Ruapehu District,7164
Wanganui District,19323
Rangitikei District,6645
Manawatu District,11616
Palmerston North City,31806
Tararua District,7797
Horowhenua District,15048
Kapiti Coast District,23631
Porirua City,17985
Upper Hutt City,15990
Lower Hutt City,38370
Wellington City,76965
Masterton District,10968
Carterton District,3699
South Wairarapa District,5280
Tasman District,21585
Nelson City,20223
Marlborough District,22155
Kaikoura District,2160
Buller District,5565
Grey District,6429
Westland District,4605
Hurunui District,6342
Waimakariri District,20343
Christchurch City,148794
Selwyn District,16743
Ashburton District,13644
Timaru District,19947
Mackenzie District,3267
Waimate District,3708
Chatham Islands Territory,333
Waitaki District,10902
Central Otago District,9960
Queenstown-Lakes District,15978
Dunedin City,50505
Clutha District,8409
Southland District,14820
Gore District,5445
Invercargill City,22560
