Area,Age,Sex,Year at 30 June,Value,Flags
"500100 Awanui","Total people, age","Total people, sex","2016",370,
"500202 Karikari Peninsula-Maungataniwha","Total people, age","Total people, sex","2016",4740,
"500204 Herekino","Total people, age","Total people, sex","2016",2200,
"500203 Taipa Bay-Mangonui","Total people, age","Total people, sex","2016",1880,
"500206 North Cape","Total people, age","Total people, sex","2016",510,
"500205 Ahipara","Total people, age","Total people, sex","2016",1170,
"500207 Houhora","Total people, age","Total people, sex","2016",1020,
"500208 Motutangi-Kareponia","Total people, age","Total people, sex","2016",1920,
"500301 Kaitaia West","Total people, age","Total people, sex","2016",3580,
"500302 Kaitaia East","Total people, age","Total people, sex","2016",2090,
"500401 Kaeo","Total people, age","Total people, sex","2016",530,
"500402 Mangapa-Matauri Bay","Total people, age","Total people, sex","2016",2760,
"500500 Kohukohu","Total people, age","Total people, sex","2016",190,
"500600 Rawene","Total people, age","Total people, sex","2016",550,
"500700 Omapere and Opononi","Total people, age","Total people, sex","2016",490,
"500801 Hokianga North","Total people, age","Total people, sex","2016",1820,
"500802 Hokianga South","Total people, age","Total people, sex","2016",2850,
"500900 Kerikeri","Total people, age","Total people, sex","2016",7220,
"501100 Paihia","Total people, age","Total people, sex","2016",1960,
"501000 Russell","Total people, age","Total people, sex","2016",810,
"501200 Haruru Falls","Total people, age","Total people, sex","2016",960,
"501300 Opua East","Total people, age","Total people, sex","2016",340,
"501400 Kawakawa","Total people, age","Total people, sex","2016",1430,
"501612 Opua West","Total people, age","Total people, sex","2016",290,
"501613 Bay of Islands","Total people, age","Total people, sex","2016",10,
"501614 Kapiro","Total people, age","Total people, sex","2016",2900,
"501615 Waitangi","Total people, age","Total people, sex","2016",920,
"501620 Pokere-Waihaha","Total people, age","Total people, sex","2016",2680,
"501631 Okaihau","Total people, age","Total people, sex","2016",770,
"501632 Ohaeawai","Total people, age","Total people, sex","2016",810,
"501633 Waihou Valley-Hupara","Total people, age","Total people, sex","2016",3570,
"501634 Ngapuhi-Kaikou","Total people, age","Total people, sex","2016",2640,
"501700 Kaikohe","Total people, age","Total people, sex","2016",4410,
"614502 Inlet-Hokianga Harbour","Total people, age","Total people, sex","2016",0,
"614601 Inlet-Rangaunu Harbour","Total people, age","Total people, sex","2016",0,
"501500 Moerewa","Total people, age","Total people, sex","2016",1600,
"614800 Inlet-Bay of Islands","Total people, age","Total people, sex","2016",10,
"614700 Inlet-Whangaroa Harbour","Total people, age","Total people, sex","2016",20,
"501802 Opouteke-Tanekaha","Total people, age","Total people, sex","2016",5180,
"501806 Marsden Point-Ruakaka","Total people, age","Total people, sex","2016",4150,
"501807 Ngunguru","Total people, age","Total people, sex","2016",1730,
"501809 Wharekohe-Oakleigh","Total people, age","Total people, sex","2016",3990,
"501810 Maungatapere","Total people, age","Total people, sex","2016",1470,
"501811 Waiotira-Springfield","Total people, age","Total people, sex","2016",2190,
"501813 Whangaruru Harbour","Total people, age","Total people, sex","2016",0,
"501814 Punaruku-Kiripaka","Total people, age","Total people, sex","2016",4600,
"501816 Waipu","Total people, age","Total people, sex","2016",1840,
"501817 Pataua-Whareora","Total people, age","Total people, sex","2016",1330,
"501818 Parua Bay","Total people, age","Total people, sex","2016",2260,
"501819 Bream Head","Total people, age","Total people, sex","2016",1470,
"502001 Springs Flat","Total people, age","Total people, sex","2016",1630,
"502002 Three Mile Bush","Total people, age","Total people, sex","2016",1110,
"502003 Te Hihi","Total people, age","Total people, sex","2016",1310,
"502004 Abbey Caves","Total people, age","Total people, sex","2016",730,
"502005 Otaika-Portland","Total people, age","Total people, sex","2016",1190,
"502101 Kamo West","Total people, age","Total people, sex","2016",4060,
"502102 Kamo East","Total people, age","Total people, sex","2016",3930,
"502201 Tikipunga West","Total people, age","Total people, sex","2016",3580,
"502202 Tikipunga East","Total people, age","Total people, sex","2016",3410,
"502300 Whau Valley","Total people, age","Total people, sex","2016",2600,
"502400 Otangarei","Total people, age","Total people, sex","2016",2120,
"502500 Western Hills","Total people, age","Total people, sex","2016",290,
"502600 Kensington","Total people, age","Total people, sex","2016",1410,
"502700 Mairtown","Total people, age","Total people, sex","2016",2690,
"502800 Regent","Total people, age","Total people, sex","2016",1770,
"502900 Woodhill","Total people, age","Total people, sex","2016",1870,
"503000 Vinetown","Total people, age","Total people, sex","2016",1690,
"503100 Whangarei Central","Total people, age","Total people, sex","2016",290,
"503200 Riverside","Total people, age","Total people, sex","2016",800,
"503300 Horahora","Total people, age","Total people, sex","2016",1190,
"501815 Bream Bay","Total people, age","Total people, sex","2016",970,
"503500 Raumanga East","Total people, age","Total people, sex","2016",1940,
"503400 Maunu","Total people, age","Total people, sex","2016",1490,
"503600 Morningside","Total people, age","Total people, sex","2016",2410,
"503700 Parahaki","Total people, age","Total people, sex","2016",1290,
"503800 Raumanga West","Total people, age","Total people, sex","2016",3320,
"503900 Port-Limeburners","Total people, age","Total people, sex","2016",50,
"504000 Sherwood Rise","Total people, age","Total people, sex","2016",4270,
"504100 Onerahi","Total people, age","Total people, sex","2016",2410,
"504300 Hikurangi","Total people, age","Total people, sex","2016",1610,
"615101 Inlet-Tutukaka Harbour","Total people, age","Total people, sex","2016",30,
"615102 Inlet-Whangarei Harbour","Total people, age","Total people, sex","2016",10,
"615301 Inlet-Port Whangarei","Total people, age","Total people, sex","2016",0,
"504400 Te Kopuru","Total people, age","Total people, sex","2016",530,
"504501 Kaipara Coastal","Total people, age","Total people, sex","2016",3250,
"504502 Maungaru","Total people, age","Total people, sex","2016",1850,
"504600 Dargaville","Total people, age","Total people, sex","2016",4930,
"504700 Maungaturoto","Total people, age","Total people, sex","2016",880,
"504800 Ruawai","Total people, age","Total people, sex","2016",480,
"504900 Kaiwaka","Total people, age","Total people, sex","2016",660,
"505010 Rehia-Oneriri","Total people, age","Total people, sex","2016",6030,
"505021 Mangawhai","Total people, age","Total people, sex","2016",1780,
"505022 Mangawhai Heads","Total people, age","Total people, sex","2016",1360,
"615302 Inlet-Mangawhai Harbour","Total people, age","Total people, sex","2016",0,
"505300 Wellsford","Total people, age","Total people, sex","2016",1970,
"505400 Leigh","Total people, age","Total people, sex","2016",480,
"505500 Warkworth","Total people, age","Total people, sex","2016",4650,
"505601 Waimauku","Total people, age","Total people, sex","2016",1160,
"505602 Huapai","Total people, age","Total people, sex","2016",1870,
"505603 Riverhead Urban","Total people, age","Total people, sex","2016",1600,
"505604 Kumeu East","Total people, age","Total people, sex","2016",1620,
"505605 Kumeu West","Total people, age","Total people, sex","2016",1950,
"505700 Waipareira West","Total people, age","Total people, sex","2016",1060,
"505803 Waiwera","Total people, age","Total people, sex","2016",330,
