Area,Age,Sex,Year at 30 June,Value,Flags
"Far North district","65 years and over","Total people, sex","1996",6100,
"Far North district","65 years and over","Total people, sex","2001",7000,
"Far North district","65 years and over","Total people, sex","2006",7900,
"Far North district","65 years and over","Total people, sex","2007",8200,
"Far North district","65 years and over","Total people, sex","2008",8500,
"Far North district","65 years and over","Total people, sex","2009",8800,
"Far North district","65 years and over","Total people, sex","2010",9200,
"Far North district","65 years and over","Total people, sex","2011",9600,
"Far North district","65 years and over","Total people, sex","2012",10100,
"Far North district","65 years and over","Total people, sex","2013",10500,
"Far North district","65 years and over","Total people, sex","2014",10900,
"Far North district","65 years and over","Total people, sex","2015",11500,
"Far North district","65 years and over","Total people, sex","2016",12100,
"Far North district","65 years and over","Total people, sex","2017",12700,
"Whangarei district","65 years and over","Total people, sex","1996",8700,
"Kaipara district","65 years and over","Total people, sex","1996",2200,
"Kaipara district","65 years and over","Total people, sex","2001",2350,
"Whangarei district","65 years and over","Total people, sex","2001",9800,
"Whangarei district","65 years and over","Total people, sex","2006",11400,
"Whangarei district","65 years and over","Total people, sex","2007",11800,
"Whangarei district","65 years and over","Total people, sex","2008",12100,
"Whangarei district","65 years and over","Total people, sex","2009",12400,
"Whangarei district","65 years and over","Total people, sex","2010",12900,
"Whangarei district","65 years and over","Total people, sex","2011",13300,
"Whangarei district","65 years and over","Total people, sex","2012",13900,
"Whangarei district","65 years and over","Total people, sex","2013",14500,
"Whangarei district","65 years and over","Total people, sex","2014",15000,
"Whangarei district","65 years and over","Total people, sex","2015",15800,
"Whangarei district","65 years and over","Total people, sex","2016",16500,
"Whangarei district","65 years and over","Total people, sex","2017",17300,
"Rodney local board area","65 years and over","Total people, sex","1996",4300,
"Hibiscus and Bays local board area","65 years and over","Total people, sex","1996",9900,
"Hibiscus and Bays local board area","65 years and over","Total people, sex","2001",10900,
"Rodney local board area","65 years and over","Total people, sex","2001",5100,
"Rodney local board area","65 years and over","Total people, sex","2006",6100,
"Kaipara district","65 years and over","Total people, sex","2006",2800,
"Hibiscus and Bays local board area","65 years and over","Total people, sex","2006",12600,
"Hibiscus and Bays local board area","65 years and over","Total people, sex","2007",13000,
"Kaipara district","65 years and over","Total people, sex","2007",2900,
"Rodney local board area","65 years and over","Total people, sex","2007",6400,
