Area,Age,Sex,Year at 30 June,Value,Flags
"500100 Awanui","Total people, age","Total people, sex","2017",380,
"500202 Karikari Peninsula-Maungataniwha","Total people, age","Total people, sex","2017",4800,
"500203 Taipa Bay-Mangonui","Total people, age","Total people, sex","2017",1910,
"500204 Herekino","Total people, age","Total people, sex","2017",2240,
"500301 Kaitaia West","Total people, age","Total people, sex","2017",3630,
"500208 Motutangi-Kareponia","Total people, age","Total people, sex","2017",1960,
"500207 Houhora","Total people, age","Total people, sex","2017",1040,
"500205 Ahipara","Total people, age","Total people, sex","2017",1200,
"500206 North Cape","Total people, age","Total people, sex","2017",520,
"500900 Kerikeri","Total people, age","Total people, sex","2017",7400,
"500802 Hokianga South","Total people, age","Total people, sex","2017",2880,
"500801 Hokianga North","Total people, age","Total people, sex","2017",1840,
"500700 Omapere and Opononi","Total people, age","Total people, sex","2017",490,
"500600 Rawene","Total people, age","Total people, sex","2017",560,
"500500 Kohukohu","Total people, age","Total people, sex","2017",190,
"500402 Mangapa-Matauri Bay","Total people, age","Total people, sex","2017",2800,
"500401 Kaeo","Total people, age","Total people, sex","2017",540,
"500302 Kaitaia East","Total people, age","Total people, sex","2017",2160,
"501500 Moerewa","Total people, age","Total people, sex","2017",1640,
"614601 Inlet-Rangaunu Harbour","Total people, age","Total people, sex","2017",0,
"614502 Inlet-Hokianga Harbour","Total people, age","Total people, sex","2017",0,
"501700 Kaikohe","Total people, age","Total people, sex","2017",4510,
"501634 Ngapuhi-Kaikou","Total people, age","Total people, sex","2017",2680,
"501633 Waihou Valley-Hupara","Total people, age","Total people, sex","2017",3670,
"501632 Ohaeawai","Total people, age","Total people, sex","2017",820,
"501631 Okaihau","Total people, age","Total people, sex","2017",780,
"501620 Pokere-Waihaha","Total people, age","Total people, sex","2017",2740,
"501615 Waitangi","Total people, age","Total people, sex","2017",930,
"501614 Kapiro","Total people, age","Total people, sex","2017",2950,
"501613 Bay of Islands","Total people, age","Total people, sex","2017",10,
"501612 Opua West","Total people, age","Total people, sex","2017",300,
"501400 Kawakawa","Total people, age","Total people, sex","2017",1480,
"501300 Opua East","Total people, age","Total people, sex","2017",350,
"501200 Haruru Falls","Total people, age","Total people, sex","2017",980,
"501000 Russell","Total people, age","Total people, sex","2017",820,
