Area,Age,Sex,Year at 30 June,Value,Flags
"Northland","65 years and over","Total sex","2006",22100,
"Northland","65 years and over","Total sex","2007",22900,
"Northland","65 years and over","Total sex","2008",23500,
"Northland","65 years and over","Total sex","2009",24300,
"Northland","65 years and over","Total sex","2010",25300,
"Northland","65 years and over","Total sex","2011",26400,
"Northland","65 years and over","Total sex","2012",27700,
"Northland","65 years and over","Total sex","2013",28900,
"Northland","65 years and over","Total sex","2014",30200,
"Northland","65 years and over","Total sex","2015",31700,
"Northland","65 years and over","Total sex","2016",33300,
"Northland","65 years and over","Total sex","2017",35000,
"Waitemata","65 years and over","Total sex","2006",55100,
"Waitemata","65 years and over","Total sex","2007",56900,
"Waitemata","65 years and over","Total sex","2008",58300,
"Waitemata","65 years and over","Total sex","2009",60100,
"Waitemata","65 years and over","Total sex","2010",62200,
"Waitemata","65 years and over","Total sex","2011",64700,
"Waitemata","65 years and over","Total sex","2012",67900,
"Waitemata","65 years and over","Total sex","2013",70900,
"Waitemata","65 years and over","Total sex","2014",73800,
"Waitemata","65 years and over","Total sex","2015",76600,
"Waitemata","65 years and over","Total sex","2016",78900,
"Waitemata","65 years and over","Total sex","2017",81300,
"Auckland","65 years and over","Total sex","2006",40400,
"Auckland","65 years and over","Total sex","2007",41200,
"Auckland","65 years and over","Total sex","2008",41800,
"Auckland","65 years and over","Total sex","2009",42600,
"Auckland","65 years and over","Total sex","2010",43500,
"Auckland","65 years and over","Total sex","2011",44900,
"Auckland","65 years and over","Total sex","2012",46700,
"Auckland","65 years and over","Total sex","2013",48500,
"Auckland","65 years and over","Total sex","2014",50700,
"Auckland","65 years and over","Total sex","2015",52700,
"Auckland","65 years and over","Total sex","2016",54500,
"Auckland","65 years and over","Total sex","2017",56400,
"Counties Manukau","65 years and over","Total sex","2006",39800,
"Counties Manukau","65 years and over","Total sex","2007",41400,
"Counties Manukau","65 years and over","Total sex","2008",42700,
"Counties Manukau","65 years and over","Total sex","2009",44200,
"Counties Manukau","65 years and over","Total sex","2010",45800,
"Counties Manukau","65 years and over","Total sex","2011",47800,
"Counties Manukau","65 years and over","Total sex","2012",50200,
"Counties Manukau","65 years and over","Total sex","2013",52400,
"Counties Manukau","65 years and over","Total sex","2014",54800,
"Counties Manukau","65 years and over","Total sex","2015",57300,
"Counties Manukau","65 years and over","Total sex","2016",59400,
"Counties Manukau","65 years and over","Total sex","2017",61600,
"Waikato","65 years and over","Total sex","2006",44000,
"Waikato","65 years and over","Total sex","2007",45200,
"Waikato","65 years and over","Total sex","2008",46000,
"Waikato","65 years and over","Total sex","2009",47300,
"Waikato","65 years and over","Total sex","2010",48800,
"Waikato","65 years and over","Total sex","2011",50400,
"Waikato","65 years and over","Total sex","2012",52600,
"Waikato","65 years and over","Total sex","2013",54800,
"Waikato","65 years and over","Total sex","2014",57100,
"Waikato","65 years and over","Total sex","2015",59500,
"Waikato","65 years and over","Total sex","2016",62200,
"Waikato","65 years and over","Total sex","2017",64600,
"Lakes","65 years and over","Total sex","2006",12100,
"Lakes","65 years and over","Total sex","2007",12400,
"Lakes","65 years and over","Total sex","2008",12700,
"Lakes","65 years and over","Total sex","2009",13000,
"Lakes","65 years and over","Total sex","2010",13400,
"Lakes","65 years and over","Total sex","2011",13800,
"Lakes","65 years and over","Total sex","2012",14500,
"Lakes","65 years and over","Total sex","2013",15000,
"Lakes","65 years and over","Total sex","2014",15600,
"Lakes","65 years and over","Total sex","2015",16200,
"Lakes","65 years and over","Total sex","2016",16800,
"Lakes","65 years and over","Total sex","2017",17500,
"Bay of Plenty","65 years and over","Total sex","2006",31800,
