,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Ashburton District Council,6649,6784,6795,7175,7355,7599,7309,7485,8213,8832,9852,10836,12018,13566,15598,18408,20798,22143,22849,23931,25494,26801,29066,30595
Auckland City Council,151581,162517,175113,181701,205713,208824,216035,239658,251106,265087,275003,284766,304462,345002,371458,394184,419083,435066,149901,..,..,..,..,..
Auckland Council,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,927606,1387410,1340557,1389366,1459394,1573138
Auckland Regional Council,53806,55869,57441,59901,61693,61693,61819,65095,69000,71760,77682,104442,109185,116590,124525,134873,145820,153068,47786,..,..,..,..,..
Banks Peninsula District Council,3411,3507,4167,3739,4707,5094,5481,5738,6331,6684,7237,8518,8998,..,..,..,..,..,..,..,..,..,..,..
Bay of Plenty Regional Council,6696,7297,7799,8260,8804,9214,9284,9540,9600,9510,9861,10908,12593,14709,17071,19934,21826,25556,25558,26359,30519,31706,31800,34318
Buller District Council,3876,4154,4417,4519,4956,5015,5268,5182,5254,5555,5618,5586,6230,6399,7593,8973,9667,10004,10521,11367,12081,12739,13389,13288
Canterbury Regional Council,27028,26977,27652,27591,27464,29281,31384,33114,34300,35641,40227,44675,47222,49909,60771,66139,68588,73087,74910,77319,79390,83948,87709,91957
Carterton District Council,2523,2608,2675,2770,2522,3067,3177,3349,3512,3725,3927,4017,4172,4212,4893,5418,5925,6588,7166,7847,7686,8123,8831,10236
Central Hawkes Bay District Council,5701,5765,6028,6251,6562,6692,6808,7016,7230,7580,8475,9028,9861,10794,11800,12892,14023,14735,15121,15839,16313,17665,17917,18210
Central Otago District Council,7781,7276,7276,7890,8217,8618,8802,8992,9458,9853,10696,11273,11561,12581,14148,15798,17581,19090,20447,21683,21212,23646,24906,26393
Chatham Islands Council,156,464,172,520,522,500,511,502,466,501,567,540,301,342,325,345,363,391,436,457,477,453,539,521
Christchurch City Council,92341,96456,101736,106280,110550,116876,122195,126030,131350,140599,148449,156714,167901,178684,204578,225658,246457,260004,278329,304688,305821,309764,358204,399399
Clutha District Council,9488,9873,10361,12231,10852,11784,11850,11868,11998,12783,13889,14709,15479,16552,17904,17803,18868,19854,20576,21338,22041,22884,23342,24303
Dunedin City Council,45970,43452,47941,49171,52371,54614,56148,58746,62153,63942,65324,67264,68654,74180,78531,83534,91710,98068,103332,111835,116899,121828,125396,130315
Far North District Council,19216,22177,22123,22404,24092,25727,29000,31477,31087,32107,37354,41734,44286,48167,53189,58017,59142,65224,61464,64878,70944,74032,76151,77469
Franklin District Council,11984,13351,15228,16012,19085,20314,21554,22302,24608,24076,26503,30025,32937,36753,40427,42972,47208,48150,16299,..,..,..,..,..
Gisborne District Council,22051,22279,23448,24058,24485,25070,25263,26537,27693,28540,29707,31717,33710,35131,37114,38894,41457,43101,45681,47636,49705,51061,51814,54734
Gore District Council,5548,5693,5815,5939,6244,6337,6533,6574,6516,6904,7460,8026,8030,8278,8655,9434,10076,10502,10998,11579,12610,13223,13729,14284
