ta,over65_pop,over65_pc
Far North district,12100,19.5
Whangarei district,16500,18.8
Kaipara district,4700,21.7
Auckland,190400,11.8
Waikato district,9100,12.8
Matamata-Piako district,6400,18.8
Thames-Coromandel district,8500,29.9
Hauraki district,4550,23.3
Hamilton city,18900,11.7
Waipa district,9000,17.4
Otorohanga district,1430,14.3
South Waikato district,3900,16.4
Waitomo district,1410,14.6
Taupo district,6600,18.2
Western Bay of Plenty district,10000,20.9
Rotorua district,10300,14.6
Tauranga city,25800,20.1
Whakatane district,5900,16.9
Kawerau district,1320,19.4
Opotiki district,1630,18.5
Gisborne district,7100,14.8
Wairoa district,1400,17.2
Hastings district,13200,16.8
Napier city,12100,19.8
Central Hawke's Bay district,2600,19.1
New Plymouth district,14000,17.5
Stratford district,1590,17.1
South Taranaki district,4300,15.5
Ruapehu district,1850,14.8
Rangitikei district,2750,18.6
Manawatu district,5100,17.1
Palmerston North city,11900,13.8
Tararua district,3150,17.9
Horowhenua district,7900,24.8
Kapiti Coast district,13800,26.5
Porirua city,6400,11.6
Upper Hutt city,6500,15.3
Lower Hutt city,14100,13.6
Wellington city,21100,10.1
Masterton district,5000,20.3
Carterton district,1890,21.2
South Wairarapa district,2150,21.3
Tasman district,10200,20.3
Nelson city,9600,19.0
Marlborough district,10100,22.2
Kaikoura district,810,21.7
Buller district,2050,20.1
Grey district,2400,17.7
Westland district,1490,17.0
Hurunui district,2400,18.9
Waimakariri district,10200,17.6
Christchurch city,55100,14.7
Selwyn district,6400,11.4
Ashburton district,5700,16.9
Timaru district,9900,21.2
Mackenzie district,760,16.8
Waimate district,1770,22.3
Waitaki district,5000,22.6
Central Otago district,4550,23.1
Queenstown-Lakes district,3900,11.2
Dunedin city,19700,15.5
Clutha district,2950,16.9
Southland district,4600,14.9
Gore district,2400,19.3
Invercargill city,9000,16.5
