ta2017_nam,mean
Far North District,2039
Whangarei District,2002
Kaipara District,1983
Thames-Coromandel District,2004
Hauraki District,2040
Waikato District,2001
Matamata-Piako District,2076
Hamilton City,2025
Waipa District,1997
Otorohanga District,1906
South Waikato District,2018
Waitomo District,1832
Taupo District,1934
Western Bay of Plenty District,2121
Tauranga City,2171
Rotorua District,2089
Whakatane District,2107
Kawerau District,
Opotiki District,2096
Gisborne District,2127
Wairoa District,2076
Hastings District,1989
Napier City,2154
Central Hawke's Bay District,1932
New Plymouth District,1981
Stratford District,1861
South Taranaki District,1972
Ruapehu District,1760
Whanganui District,1877
Rangitikei District,1863
Manawatu District,1908
Palmerston North City,1885
Tararua District,1828
Horowhenua District,1893
Kapiti Coast District,1866
Porirua City,1962
Upper Hutt City,1887
Lower Hutt City,1961
Wellington City,2030
Masterton District,1907
Carterton District,1840
South Wairarapa District,1903
Tasman District,2105
Nelson City,2355
Marlborough District,2174
Kaikoura District,2004
Buller District,1813
Grey District,1772
Westland District,1705
Hurunui District,1947
Waimakariri District,1996
Christchurch City,1953
Selwyn District,1840
Ashburton District,1822
Timaru District,1862
Mackenzie District,1795
Waimate District,1890
Chatham Islands Territory,
Waitaki District,1833
Central Otago District,1927
Queenstown-Lakes District,1815
Dunedin City,1723
Clutha District,1694
Southland District,1572
Gore District,1732
Invercargill City,1660
Auckland,2038
